date,code,name,totalDoses,peopleVaccinated,peopleFullyVaccinated,total_boosters,dailyDosesRaw,dailyDosesAvg,totalDosesPer100,peopleVaccinatedPer100,peopleFullyVaccinatedPer100,total_boosters_per_hundred,dailyDosesAvgPer1M,daily_people_vaccinated,daily_people_vaccinated_per_hundred,country,firstShotDate,daysSinceFirstShot,cnnRegion
2023-03-01,ABW,Aruba,174410,90285,84125,NA,3,5,163.83,84.81,79.02,NA,47,3,0.003,Aruba,2021-02-17,742,Latin America and the Caribbean
2023-02-26,AFG,Afghanistan,14743912,13195588,12476994,536752,NA,162922,35.85,32.08,30.34,1.31,3961,116493,0.283,Afghanistan,2021-02-23,733,Asia
2023-02-26,AGO,Angola,24502287,15349780,8504173,1736921,NA,46854,68.85,43.13,23.9,4.88,1317,21639,0.061,Angola,2021-03-02,726,Africa
2023-02-10,AIA,Anguilla,24489,10854,10380,NA,NA,0,154.24,68.36,65.38,NA,0,0,0,Anguilla,2021-02-05,735,Latin America and the Caribbean
2023-02-05,ALB,Albania,3058102,1345763,1274719,390033,NA,512,107.59,47.35,44.85,13.72,180,56,0.002,Albania,2021-01-11,755,Europe
2023-01-29,AND,Andorra,156766,57903,53492,43049,NA,12,196.34,72.52,67,53.92,150,0,0,Andorra,2021-01-20,739,Europe
2022-06-20,ARE,United Arab Emirates,24922054,9991089,9792266,5138699,NA,848,263.97,105.83,103.72,54.43,90,0,0,United Arab Emirates,2020-12-31,536,Asia
2023-02-28,ARG,Argentina,114898862,41472560,34848391,35748952,13980,15524,252.47,91.13,76.57,78.55,341,651,0.001,Argentina,2020-12-29,791,Latin America and the Caribbean
2022-05-22,ARM,Armenia,2150112,1129669,985807,40725,NA,126,77.33,40.63,35.45,1.46,45,24,0.001,Armenia,2021-03-31,417,Asia
2022-09-16,ATG,Antigua and Barbuda,136512,64290,62384,9838,NA,201,145.58,68.56,66.53,10.49,2143,5,0.005,Antigua and Barbuda,2021-02-17,576,Latin America and the Caribbean
2023-02-02,AUS,Australia,63681652,22236698,21654488,19790466,NA,1926,243.27,84.95,82.72,75.6,74,34,0,Australia,2021-02-22,710,Oceania
2022-12-13,AUT,Austria,20263306,6895915,NA,6733783,9381,6753,226.67,77.14,NA,75.33,755,63,0.001,Austria,2020-12-27,716,Europe
2022-08-28,AZE,Azerbaijan,13857111,5373253,4862494,3362453,NA,1313,133.78,51.88,46.94,32.46,127,236,0.002,Azerbaijan,2021-01-18,587,Asia
2023-02-26,BDI,Burundi,35060,33104,32514,293,NA,40,0.27,0.26,0.25,0,3,40,0,Burundi,2021-10-18,496,Africa
2023-02-20,BEL,Belgium,29622669,9265577,9167947,11619781,NA,263,254.14,79.49,78.65,99.69,23,11,0,Belgium,2020-12-28,784,Europe
2022-12-18,BEN,Benin,4232541,3697190,2742837,NA,NA,12809,31.7,27.69,20.54,NA,959,11614,0.087,Benin,2021-03-29,629,Africa
2021-09-01,BES,"Bonaire, Sint Eustatius and Saba",35845,19109,16736,NA,NA,196,132.5,70.64,61.87,NA,7245,92,0.34,"Bonaire, Sint Eustatius and Saba",2021-02-22,191,Latin America and the Caribbean
2023-02-19,BFA,Burkina Faso,5856003,4531047,3502286,NA,NA,8786,25.83,19.98,15.45,NA,387,1956,0.009,Burkina Faso,2021-06-02,627,Africa
2023-03-01,BGD,Bangladesh,355143411,151190373,137139339,67395241,NA,69069,207.46,88.32,80.11,39.37,403,4347,0.003,Bangladesh,2021-02-07,752,Asia
2023-02-25,BGR,Bulgaria,4608622,NA,2075993,NA,7,58,67.95,NA,30.61,NA,9,NA,NA,Bulgaria,2020-12-27,790,Europe
2022-12-21,BHR,Bahrain,3476633,1241174,1226796,1008663,NA,30,236.15,84.31,83.33,68.51,20,4,0,Bahrain,2020-12-17,734,Asia
2022-11-16,BHS,Bahamas,364701,174147,165633,36670,NA,136,88.95,42.48,40.4,8.94,332,48,0.012,Bahamas,2021-03-14,612,Latin America and the Caribbean
2022-01-29,BIH,Bosnia–Herzegovina,1924950,943394,846080,NA,NA,4315,59.53,29.18,26.17,NA,1334,954,0.03,Bosnia–Herzegovina,2021-02-12,351,Europe
2023-01-29,BLR,Belarus,19047714,6528944,6410767,5609117,NA,25124,199.77,68.47,67.23,58.83,2635,193,0.002,Belarus,2020-12-29,761,Europe
2023-02-24,BLZ,Belize,502189,251908,221355,51251,NA,1,123.91,62.16,54.62,12.65,2,0,0,Belize,2021-03-01,725,Latin America and the Caribbean
2022-07-08,BMU,Bermuda,132042,48554,47657,35831,NA,9,205.65,75.62,74.22,55.81,140,0,0,Bermuda,2021-01-11,543,North America
2022-10-07,BOL,Bolivia,14690530,7361008,6160585,2167589,3953,2741,120.18,60.22,50.4,17.73,224,508,0.004,Bolivia,2021-01-29,616,Latin America and the Caribbean
