date,code,name,totalDoses,peopleVaccinated,peopleFullyVaccinated,total_boosters,dailyDosesAvg,totalDosesPer100,peopleVaccinatedPer100,peopleFullyVaccinatedPer100,total_boosters_per_hundred,dailyDosesAvgPer1M,daily_people_vaccinated,daily_people_vaccinated_per_hundred,firstShotDate,vaccines,cnnRegion
2022-01-11,AFG,Afghanistan,4925111,4378818,3814837,NA,15680,12.36,10.99,9.58,NA,394,14745,0.037,2021-02-23,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Asia
2022-01-10,ALB,Albania,2410728,1179912,1064297,166519,8587,83.91,41.07,37.05,5.8,2989,3757,0.131,2021-01-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Europe
2022-01-09,DZA,Algeria,12906358,7221896,5763106,NA,19000,28.93,16.19,12.92,NA,426,8482,0.019,2021-01-30,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Africa
2021-12-26,AND,Andorra,117246,57085,51392,NA,110,151.57,73.8,66.44,NA,1422,33,0.043,2021-01-20,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-08,AGO,Angola,12099891,8176125,4174988,NA,61825,35.66,24.09,12.3,NA,1822,65272,0.192,2021-03-02,Oxford/AstraZeneca,Africa
2021-12-08,AIA,Anguilla,20284,10079,9223,982,53,134.11,66.64,60.98,6.49,3504,6,0.04,2021-02-05,"Oxford/AstraZeneca, Pfizer/BioNTech",Latin America and the Caribbean
2022-01-06,ATG,Antigua and Barbuda,121415,62361,59054,NA,34,122.98,63.16,59.81,NA,344,10,0.01,2021-02-17,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Latin America and the Caribbean
2022-01-11,ARG,Argentina,80624548,38777320,33460420,8167077,415255,176.79,85.03,73.37,17.91,9105,62039,0.136,2020-12-29,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Latin America and the Caribbean
2022-01-09,ARM,Armenia,1694518,952813,740489,1216,4895,57.09,32.1,24.95,0.04,1649,1147,0.039,2021-03-31,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Asia
2022-01-11,ABW,Aruba,164348,85106,79242,NA,72,153.32,79.39,73.92,NA,672,42,0.039,2021-02-17,Pfizer/BioNTech,Latin America and the Caribbean
2022-01-11,AUS,Australia,44374463,20578901,19928352,3867210,192839,172.07,79.8,77.28,15,7478,14778,0.057,2021-02-22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Oceania
2022-01-11,AUT,Austria,16851701,6661550,6598692,3936338,41137,186.35,73.66,72.97,43.53,4549,4016,0.044,2020-12-27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-11,AZE,Azerbaijan,11531165,5187462,4699487,1644216,26374,112.79,50.74,45.97,16.08,2580,2576,0.025,2021-01-18,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Asia
2022-01-05,BHS,Bahamas,308249,158120,149393,11882,618,77.66,39.84,37.64,2.99,1557,83,0.021,2021-03-14,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",Latin America and the Caribbean
2022-01-11,BHR,Bahrain,3285403,1208214,1184839,892350,5283,187.92,69.11,67.77,51.04,3022,480,0.027,2020-12-17,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Asia
2022-01-10,BGD,Bangladesh,133127379,78256299,54871080,NA,829757,80.05,47.06,32.99,NA,4989,388153,0.233,2021-02-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Asia
2022-01-10,BRB,Barbados,301866,156871,144995,NA,292,104.92,54.52,50.4,NA,1015,120,0.042,2021-02-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Latin America and the Caribbean
2022-01-02,BLR,Belarus,8651776,4905934,3570521,NA,67398,91.62,51.95,37.81,NA,7137,39278,0.416,2020-12-29,"Sinopharm/Beijing, Sputnik V",Europe
2022-01-10,BEL,Belgium,22610683,8944392,8819287,5271800,117559,194.38,76.89,75.82,45.32,10106,4090,0.035,2020-12-28,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Europe
2022-01-07,BLZ,Belize,429697,230789,200254,NA,338,106.12,57,49.46,NA,835,44,0.011,2021-03-01,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Latin America and the Caribbean
2022-01-03,BEN,Benin,1897214,1815764,1421442,NA,17660,15.24,14.58,11.42,NA,1418,16569,0.133,2021-03-29,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Africa
2022-01-05,BMU,Bermuda,114241,46400,45487,22354,221,183.99,74.73,73.26,36,3559,11,0.018,2021-01-11,"Oxford/AstraZeneca, Pfizer/BioNTech",North America
